,date,title,artist,weeks,uri,af
2,1954-04-16,SECRET LOVE,DORIS DAY,1,spotify:track:2dX2phLETbjqZA0D78ms4T,"{'danceability': 0.28, 'energy': 0.151, 'key': 11, 'loudness': -14.317, 'mode': 1, 'speechiness': 0.0355, 'acousticness': 0.955, 'instrumentalness': 0.00107, 'liveness': 0.134, 'valence': 0.176, 'tempo': 76.222, 'type': 'audio_features', 'id': '2dX2phLETbjqZA0D78ms4T', 'uri': 'spotify:track:2dX2phLETbjqZA0D78ms4T', 'track_href': 'https://api.spotify.com/v1/tracks/2dX2phLETbjqZA0D78ms4T', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2dX2phLETbjqZA0D78ms4T', 'duration_ms': 218253, 'time_signature': 4}"
3,1954-04-23,I SEE THE MOON,STARGAZERS,1,,{}
4,1954-04-30,SUCH A NIGHT,JOHNNIE RAY,1,spotify:track:7FKEOxS3qz0hv4dDaIQSqW,"{'danceability': 0.722, 'energy': 0.371, 'key': 9, 'loudness': -16.712, 'mode': 1, 'speechiness': 0.151, 'acousticness': 0.667, 'instrumentalness': 0, 'liveness': 0.124, 'valence': 0.92, 'tempo': 94.821, 'type': 'audio_features', 'id': '7FKEOxS3qz0hv4dDaIQSqW', 'uri': 'spotify:track:7FKEOxS3qz0hv4dDaIQSqW', 'track_href': 'https://api.spotify.com/v1/tracks/7FKEOxS3qz0hv4dDaIQSqW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7FKEOxS3qz0hv4dDaIQSqW', 'duration_ms': 133133, 'time_signature': 4}"
5,1954-08-05,SECRET LOVE,DORIS DAY,8,spotify:track:2dX2phLETbjqZA0D78ms4T,"{'danceability': 0.28, 'energy': 0.151, 'key': 11, 'loudness': -14.317, 'mode': 1, 'speechiness': 0.0355, 'acousticness': 0.955, 'instrumentalness': 0.00107, 'liveness': 0.134, 'valence': 0.176, 'tempo': 76.222, 'type': 'audio_features', 'id': '2dX2phLETbjqZA0D78ms4T', 'uri': 'spotify:track:2dX2phLETbjqZA0D78ms4T', 'track_href': 'https://api.spotify.com/v1/tracks/2dX2phLETbjqZA0D78ms4T', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2dX2phLETbjqZA0D78ms4T', 'duration_ms': 218253, 'time_signature': 4}"
6,1954-02-07,CARA MIA,"DAVID WHITFIELD, WITH CHORUS AND MANTOVANI AND HIS ORCHESTRA",10,,{}
7,1954-10-09,LITTLE THINGS MEAN A LOT,KITTY KALLEN,1,spotify:track:30F5DTdI9dYwW69OEe0L56,"{'danceability': 0.238, 'energy': 0.124, 'key': 8, 'loudness': -14.607, 'mode': 1, 'speechiness': 0.0349, 'acousticness': 0.983, 'instrumentalness': 0.0123, 'liveness': 0.117, 'valence': 0.193, 'tempo': 63.519, 'type': 'audio_features', 'id': '30F5DTdI9dYwW69OEe0L56', 'uri': 'spotify:track:30F5DTdI9dYwW69OEe0L56', 'track_href': 'https://api.spotify.com/v1/tracks/30F5DTdI9dYwW69OEe0L56', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/30F5DTdI9dYwW69OEe0L56', 'duration_ms': 213960, 'time_signature': 3}"
8,1954-09-17,THREE COINS IN THE FOUNTAIN,FRANK SINATRA,3,spotify:track:2LnTydfDh8VOvJH7cSLqjS,"{'danceability': 0.282, 'energy': 0.113, 'key': 0, 'loudness': -16.69, 'mode': 1, 'speechiness': 0.0336, 'acousticness': 0.867, 'instrumentalness': 4.76e-05, 'liveness': 0.357, 'valence': 0.225, 'tempo': 67.365, 'type': 'audio_features', 'id': '2LnTydfDh8VOvJH7cSLqjS', 'uri': 'spotify:track:2LnTydfDh8VOvJH7cSLqjS', 'track_href': 'https://api.spotify.com/v1/tracks/2LnTydfDh8VOvJH7cSLqjS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2LnTydfDh8VOvJH7cSLqjS', 'duration_ms': 225427, 'time_signature': 4}"
9,1954-08-10,HOLD MY HAND,DON CORNELL,4,spotify:track:6eGgw0KZkNfDy5CFP5nWvZ,"{'danceability': 0.315, 'energy': 0.0695, 'key': 3, 'loudness': -17.376, 'mode': 1, 'speechiness': 0.0447, 'acousticness': 0.979, 'instrumentalness': 0.14, 'liveness': 0.154, 'valence': 0.223, 'tempo': 83.139, 'type': 'audio_features', 'id': '6eGgw0KZkNfDy5CFP5nWvZ', 'uri': 'spotify:track:6eGgw0KZkNfDy5CFP5nWvZ', 'track_href': 'https://api.spotify.com/v1/tracks/6eGgw0KZkNfDy5CFP5nWvZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6eGgw0KZkNfDy5CFP5nWvZ', 'duration_ms': 165880, 'time_signature': 4}"
10,1954-05-11,MY SON MY SON,VERA LYNN,2,spotify:track:6RvMlNNxqsod8CmGjcqJ19,"{'danceability': 0.449, 'energy': 0.252, 'key': 10, 'loudness': -14.276, 'mode': 1, 'speechiness': 0.0283, 'acousticness': 0.831, 'instrumentalness': 0.669, 'liveness': 0.083, 'valence': 0.272, 'tempo': 91.912, 'type': 'audio_features', 'id': '6RvMlNNxqsod8CmGjcqJ19', 'uri': 'spotify:track:6RvMlNNxqsod8CmGjcqJ19', 'track_href': 'https://api.spotify.com/v1/tracks/6RvMlNNxqsod8CmGjcqJ19', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6RvMlNNxqsod8CmGjcqJ19', 'duration_ms': 179487, 'time_signature': 4}"
11,1954-11-19,HOLD MY HAND,DON CORNELL,1,spotify:track:6eGgw0KZkNfDy5CFP5nWvZ,"{'danceability': 0.315, 'energy': 0.0695, 'key': 3, 'loudness': -17.376, 'mode': 1, 'speechiness': 0.0447, 'acousticness': 0.979, 'instrumentalness': 0.14, 'liveness': 0.154, 'valence': 0.223, 'tempo': 83.139, 'type': 'audio_features', 'id': '6eGgw0KZkNfDy5CFP5nWvZ', 'uri': 'spotify:track:6eGgw0KZkNfDy5CFP5nWvZ', 'track_href': 'https://api.spotify.com/v1/tracks/6eGgw0KZkNfDy5CFP5nWvZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6eGgw0KZkNfDy5CFP5nWvZ', 'duration_ms': 165880, 'time_signature': 4}"
